epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_N_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_N_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_N_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_N_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
       169, 27632.748,    0.002,       0.00056929,        8.516e-06,       0.00057781,        0.391,         0.62,        0.228,        0.572,        0.676,        0.536,        0.503,        0.363,        0.807,        0.949,         0.76,         0.72,         1.25,       0.0567,        0.0004047,       5.0017e-07,        0.0004052,        0.315,        0.522,        0.184,        0.471,        0.554,        0.397,        0.401,        0.267,        0.708,        0.866,        0.567,        0.602,        0.286,        0.013
       170, 27788.256,    0.002,       0.00064124,       9.9159e-06,       0.00065115,        0.407,        0.658,        0.229,          0.6,        0.708,        0.591,        0.532,        0.315,        0.869,         1.01,        0.933,        0.782,          1.3,       0.0591,       0.00041092,       4.3147e-07,       0.00041135,        0.313,        0.526,        0.182,        0.469,        0.551,        0.391,        0.398,        0.263,        0.723,        0.843,        0.596,        0.606,        0.281,       0.0128
       171, 27943.029,    0.002,       0.00054889,       7.9639e-06,       0.00055686,        0.394,        0.608,        0.225,        0.575,        0.697,        0.562,        0.515,        0.304,        0.807,        0.965,        0.794,        0.718,         1.23,       0.0558,       0.00039762,       4.8646e-07,       0.00039811,        0.315,        0.518,        0.183,        0.475,        0.545,         0.39,        0.398,         0.27,        0.716,        0.796,        0.584,        0.591,        0.311,       0.0141
       172, 28099.166,    0.002,       0.00055038,       1.0694e-05,       0.00056107,         0.39,        0.609,        0.226,        0.571,        0.685,        0.538,        0.505,        0.318,        0.808,        0.964,        0.768,        0.714,         1.34,       0.0609,       0.00038002,        2.368e-07,       0.00038026,        0.307,        0.506,         0.18,         0.46,        0.532,        0.385,        0.389,        0.265,        0.705,        0.778,        0.547,        0.574,        0.195,      0.00888
       173, 28255.394,    0.002,       0.00057941,       9.9938e-06,        0.0005894,        0.398,        0.625,        0.228,        0.586,          0.7,        0.558,        0.518,        0.334,        0.824,        0.978,        0.795,        0.733,         1.33,       0.0604,       0.00039765,       6.2588e-07,       0.00039828,        0.315,        0.518,        0.184,        0.473,        0.541,        0.401,          0.4,        0.269,        0.716,        0.794,         0.59,        0.592,        0.348,       0.0158
       174, 28412.895,    0.002,       0.00054805,       1.3673e-05,       0.00056172,        0.393,        0.608,        0.226,        0.577,        0.691,        0.546,         0.51,        0.313,        0.808,        0.958,        0.775,        0.713,         1.51,       0.0685,       0.00038518,       2.3744e-07,       0.00038542,        0.309,         0.51,         0.18,        0.467,        0.533,        0.387,        0.392,        0.263,        0.704,        0.799,        0.561,        0.582,        0.191,      0.00868
       175, 28570.465,    0.002,       0.00064495,       1.1314e-05,       0.00065626,        0.413,        0.659,        0.237,         0.61,        0.735,        0.559,        0.535,        0.338,        0.882,         1.04,        0.828,        0.772,         1.41,        0.064,       0.00043725,       1.5293e-06,       0.00043878,        0.338,        0.543,        0.198,        0.508,        0.593,        0.415,        0.428,        0.286,        0.755,        0.839,        0.584,        0.616,        0.645,       0.0293
       176, 28726.890,    0.002,       0.00057294,       1.1585e-05,       0.00058453,         0.38,        0.622,         0.22,        0.553,        0.669,        0.531,        0.493,         0.31,        0.817,         1.01,        0.801,        0.736,         1.27,       0.0576,         0.000476,       1.2418e-06,       0.00047724,        0.344,        0.566,        0.196,        0.519,        0.589,        0.461,        0.441,        0.281,        0.784,        0.863,        0.684,        0.653,        0.581,       0.0264
       177, 28884.260,    0.002,       0.00071152,       1.0417e-05,       0.00072193,        0.391,        0.693,        0.223,        0.569,        0.684,        0.579,        0.513,        0.338,        0.906,         1.04,         1.02,        0.827,          1.3,       0.0592,       0.00039239,        5.911e-07,       0.00039298,        0.316,        0.514,        0.191,        0.466,        0.537,        0.389,        0.396,        0.275,        0.704,        0.792,        0.584,        0.589,        0.372,       0.0169
       178, 29041.353,    0.002,       0.00052662,       1.0432e-05,       0.00053705,        0.379,        0.596,        0.221,        0.555,        0.646,        0.531,        0.488,        0.306,        0.796,        0.908,        0.785,        0.699,         1.36,       0.0617,       0.00036295,       3.8621e-07,       0.00036334,        0.303,        0.495,        0.177,        0.453,        0.526,        0.379,        0.384,        0.263,        0.681,        0.774,        0.538,        0.564,        0.284,       0.0129
       179, 29198.769,    0.002,       0.00065712,       9.8846e-06,       0.00066701,        0.415,        0.666,        0.238,        0.612,        0.718,        0.584,        0.538,        0.353,        0.884,         1.01,        0.871,         0.78,         1.33,       0.0606,       0.00037732,       2.6612e-07,       0.00037759,        0.306,        0.504,         0.18,        0.458,        0.527,        0.386,        0.388,        0.266,        0.691,        0.795,        0.555,        0.577,        0.212,      0.00963
       180, 29353.361,    0.002,       0.00056036,       1.0239e-05,        0.0005706,        0.374,        0.615,        0.216,        0.551,        0.637,        0.527,        0.483,        0.308,        0.831,        0.918,        0.821,        0.719,         1.31,       0.0597,       0.00045449,        3.039e-07,       0.00045479,        0.332,        0.554,        0.191,        0.499,        0.583,        0.422,        0.424,        0.278,         0.77,        0.853,         0.63,        0.633,        0.233,       0.0106
       181, 29511.143,    0.002,       0.00074639,       1.8404e-05,       0.00076479,        0.386,        0.709,        0.217,        0.564,        0.688,         0.56,        0.507,        0.322,        0.916,         1.15,         1.03,        0.856,         1.44,       0.0655,       0.00040891,       8.0878e-07,       0.00040972,        0.315,        0.525,        0.186,        0.475,        0.542,         0.38,        0.396,        0.273,        0.724,        0.847,        0.543,        0.597,        0.452,       0.0205
       182, 29668.473,    0.002,        0.0005103,       1.1563e-05,       0.00052186,        0.369,        0.587,        0.211,        0.543,         0.64,        0.524,         0.48,        0.291,        0.788,        0.896,        0.781,        0.689,          1.3,       0.0593,       0.00046831,       9.6921e-07,       0.00046927,         0.34,        0.562,        0.192,        0.515,        0.596,        0.447,        0.438,        0.282,         0.78,        0.864,        0.651,        0.644,        0.487,       0.0221
       183, 29825.694,    0.002,       0.00050749,       9.7239e-06,       0.00051722,        0.374,        0.585,        0.219,        0.548,         0.65,        0.505,        0.481,        0.313,        0.786,        0.913,          0.7,        0.678,         1.27,       0.0576,       0.00037032,       3.5936e-07,       0.00037068,        0.302,          0.5,        0.176,        0.454,         0.52,        0.387,        0.384,        0.257,        0.686,        0.788,        0.563,        0.574,         0.26,       0.0118
       184, 29983.042,    0.002,       0.00047906,       7.9571e-06,       0.00048702,        0.373,        0.568,        0.214,        0.548,        0.653,        0.521,        0.484,          0.3,         0.76,        0.873,         0.72,        0.663,         1.22,       0.0553,       0.00039432,       4.0759e-07,       0.00039473,        0.309,        0.516,         0.18,        0.467,        0.529,        0.395,        0.393,        0.268,        0.723,        0.768,        0.581,        0.585,        0.291,       0.0132
       185, 30139.803,    0.002,       0.00057715,       7.6526e-06,       0.00058481,          0.4,        0.624,        0.227,        0.588,        0.707,        0.561,        0.521,        0.334,        0.821,        0.982,         0.79,        0.732,         1.21,        0.055,       0.00041264,       3.2596e-07,       0.00041297,        0.326,        0.527,         0.19,        0.488,        0.573,        0.412,        0.416,        0.278,         0.73,        0.811,        0.583,        0.601,        0.262,       0.0119
       186, 30296.653,    0.002,       0.00060007,       9.7981e-06,       0.00060987,        0.392,        0.636,        0.224,        0.581,        0.676,        0.549,        0.508,        0.314,        0.852,        0.979,         0.85,        0.749,         1.25,        0.057,       0.00039734,       3.5996e-07,        0.0003977,        0.321,        0.518,        0.185,        0.484,        0.564,        0.406,         0.41,         0.27,        0.715,        0.796,        0.587,        0.592,        0.247,       0.0112
